timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1590031629277,1019,发表条目,200,OK,线程组 1-2,text,true,,232030,0,3,3,54,0,0
1590031628947,1382,发表条目,200,OK,线程组 1-1,text,true,,275589,0,3,3,68,0,0
1590031630296,69,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,69,0,0
1590031630330,67,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,67,0,0
1590031629773,996,发表条目,200,OK,线程组 1-3,text,true,,232018,0,3,3,105,0,0
1590031630770,62,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,62,0,0
1590031630367,2199,发表条目,200,OK,线程组 1-2,text,true,,232441,0,3,3,91,0,0
1590031632583,134,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,134,0,0
1590031630399,2424,发表条目,200,OK,线程组 1-1,text,true,,276000,0,3,3,88,0,0
1590031630833,1855,发表条目,200,OK,线程组 1-3,text,true,,232429,0,3,3,52,0,0
1590031633033,157,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,157,0,0
1590031633021,177,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,176,0,0
1590031633023,1702,发表条目,200,OK,线程组 1-2,text,true,,232852,0,3,3,128,0,0
1590031634726,59,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,59,0,0
1590031633231,1830,发表条目,200,OK,线程组 1-3,text,true,,232840,0,3,3,131,0,0
1590031635062,56,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,56,0,0
1590031633211,2353,发表条目,200,OK,线程组 1-1,text,true,,276411,0,3,3,179,0,0
1590031635566,66,进入编辑条目页面,200,OK,线程组 1-1,text,true,,2846,0,3,3,66,0,0
1590031634787,992,发表条目,200,OK,线程组 1-2,text,true,,233263,0,3,3,63,0,0
1590031635781,78,进入编辑条目页面,200,OK,线程组 1-2,text,true,,2848,0,3,3,78,0,0
1590031635125,1079,发表条目,200,OK,线程组 1-3,text,true,,233251,0,3,3,49,0,0
1590031636206,64,进入编辑条目页面,200,OK,线程组 1-3,text,true,,2838,0,3,3,64,0,0
