timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,Latency,IdleTime,Connect
1590031646091,531120000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031646092,99000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031646092,74036,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031646092,20,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031647092,531116000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031647093,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031647093,74034,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031647093,12,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031648093,245603000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031648093,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031648093,74048,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031648093,28,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031649095,776928000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031649095,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031649095,74159,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031649095,72,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031650096,777335000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031650096,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031650096,74306,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031650096,32,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031651097,245461000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031651097,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031651097,74552,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031651097,64,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031652098,778245000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031652098,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031652098,74815,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031652098,40,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031653098,779593000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031653100,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031653100,75123,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031653100,52,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031654101,772761000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031654101,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031654101,75427,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031654101,20,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031655102,281809000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031655102,99009,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031655102,75664,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031655102,36,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031656103,244216000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031656103,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031656103,76531,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031656103,0,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031657103,537025000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031657103,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031657103,76768,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031657103,52,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031658104,784612000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031658104,100000,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031658104,77064,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031658104,68,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031659105,538621000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
1590031659105,99009,192.168.137.128 CPU,,,,,true,,0,0,0,0,0,0,0
1590031659105,77406,192.168.137.128 Memory,,,,,true,,0,0,0,0,0,0,0
1590031659105,36,192.168.137.128 Disks I/O,,,,,true,,0,0,0,0,0,0,0
1590031660105,495808000,192.168.137.128 Network I/O,,,,,true,,0,0,0,0,0,0,0
